Feature,Importance
price_ratio_to_cluster_avg,0.1628859992703548
location_premium_score,0.10938767064005818
price_ratio_to_borough_avg,0.1069213089165691
price_ratio_to_room_type_avg,0.09362665297069916
premium_property_score,0.0755897199156204
price_ratio_to_neighborhood_avg,0.06334797726321989
room_type_Entire home/apt.1,0.05810921010837759
room_type_avg_price,0.0433209490705855
price_category_Premium,0.02683067803873995
room_type_Entire home/apt,0.026137510516378106
price_category_Standard,0.023085284377227868
room_type_Private room.1,0.021634706678325184
price_category_Economy,0.021198830244793618
price_category_Luxury,0.019556539207578657
room_borough_avg_price,0.017197400924544595
neighborhood_avg_price,0.016802591238020134
distance_to_empire_state_building,0.011748287399665255
room_type_Private room,0.008730609078660767
longitude,0.008349698468259392
distance_to_nearest_attraction,0.008005515915473816
room_type_Private room.2,0.007675752695190826
room_borough_interaction_Entire home/apt_Manhattan,0.006444830055776213
borough_avg_price,0.004881238742351319
distance_to_central_park,0.0047286603794553135
distance_to_times_square,0.004500797168486037
distance_to_brooklyn_bridge,0.004068826915954662
room_borough_interaction_Private room_Brooklyn,0.002776638911092856
distance_to_yankee_stadium,0.00260548922004693
distance_to_statue_of_liberty,0.002582197239372488
room_availability_interaction_Private room_nan,0.0024957248366748426
neighbourhood_group_Manhattan,0.0023698499487281536
latitude,0.0022321505814628514
neighborhood_listing_count,0.0016707081037817143
room_type_Shared room.1,0.0011680870884811067
popularity_score,0.001155044503057774
neighbourhood_group_Brooklyn,0.0011176007163214883
geo_cluster,0.0010676617751273216
availability_365,0.0010596881042236707
neighbourhood_group_Queens,0.0010509268225577814
room_availability_interaction_Entire home/apt_nan,0.0010015060353334836
geo_cluster_avg_price,0.000941164908622202
room_type_Shared room,0.0009398797927893458
room_borough_interaction_Private room_Manhattan,0.0009091189933657845
availability_rate,0.0008808898484948021
booking_frequency_score,0.0008401221771103478
minimum_nights,0.000823491617558
name_character_count,0.0008039092359522022
number_of_reviews,0.0007983257293352593
avg_days_between_reviews,0.0006666562349289856
host_total_listings,0.0006357109649110767
room_type_Shared room.2,0.0006221662923104555
room_borough_interaction_Entire home/apt_Brooklyn,0.0006033341247862078
reviews_per_month,0.0005905652035149111
room_borough_interaction_Entire home/apt_Queens,0.0005634787837679955
name_word_count,0.0005553155339587165
room_availability_interaction_Private room_High,0.0005407006327229001
days_since_last_review,0.0005163030613277904
calculated_host_listings_count,0.0005088406084683204
room_borough_interaction_Shared room_Brooklyn,0.00044993952913180326
review_recency_score,0.0004374633829086459
room_borough_interaction_Private room_Queens,0.0004294462342829273
review_day,0.0004162870007196248
review_month,0.00038390939163981426
marketing_appeal_score,0.00037330441123907955
room_availability_interaction_Shared room_Medium,0.000348369697561437
review_dayofweek,0.0002866857380958498
review_quarter,0.00027436081120033875
review_volume_Numerous,0.00027124785654282935
is_highly_available,0.00017732360340705033
review_year,0.00017532873439225178
total_keyword_count,0.00017199079839864202
is_short_term,0.0001600329525698295
is_rarely_available,0.0001564160313046412
room_availability_interaction_Entire home/apt_Low,0.0001498967599255073
avail_bin_Medium,0.0001419955115484563
minimum_nights_category_Month Stay,0.00014065449838870117
avail_bin_High,0.00013951133452289052
host_type_Professional Host,0.00012643201887253358
location_keyword_count,0.00012574311541024955
is_single_listing_host,0.00011621351580320991
room_availability_interaction_Shared room_High,0.00011140384420239026
minimum_nights_category_Short Stay,0.00010969067524041958
season_Spring,0.00010727295905582255
minimum_nights_category_Long Term,0.00010677178829110566
amenity_keyword_count,0.00010620125107734324
availability_category_Moderately Available,0.00010593400405239876
availability_category_Always Available,0.00010017340742412034
premium_keyword_count,9.962004371367165e-05
view_keyword_count,9.789354563259967e-05
is_long_term,9.600306232999899e-05
room_borough_interaction_Private room_Bronx,8.788590000266376e-05
is_low_season,8.761802221606945e-05
size_keyword_count,8.674096582674332e-05
room_availability_interaction_Shared room_Low,8.13876964905212e-05
host_type_Multiple Listings,8.108164103789385e-05
has_review,7.896130982520819e-05
room_availability_interaction_Shared room_nan,7.701873005393653e-05
season_Summer,7.304344609055219e-05
minimum_nights_category_Week Stay,7.269611895858538e-05
host_type_Few Listings,7.081684092831824e-05
review_volume_Many,6.922991760926354e-05
review_frequency_Medium,6.663514050339046e-05
room_borough_interaction_Shared room_Manhattan,6.623270454340314e-05
review_frequency_High,6.522330391676276e-05
room_availability_interaction_Private room_Low,6.516613886720691e-05
availability_category_Occasionally Available,5.802269127866451e-05
is_professional_host,5.7035277140617074e-05
review_volume_Some,5.097406465295405e-05
season_Winter,4.699786703669276e-05
is_high_season,4.5190401443729095e-05
review_frequency_Low,4.431958218149768e-05
room_borough_interaction_Shared room_Queens,4.395520562146665e-05
room_availability_interaction_Private room_Medium,4.380734675267137e-05
availability_category_Highly Available,4.261380431753164e-05
review_frequency_Very High,2.611748830984653e-05
room_availability_interaction_Entire home/apt_Medium,1.8622916822515034e-05
neighbourhood_group_Staten Island,1.3949806475031716e-05
room_borough_interaction_Entire home/apt_Staten Island,9.644150184766752e-06
room_borough_interaction_Shared room_Bronx,7.827325540545397e-06
room_borough_interaction_Private room_Staten Island,5.215014638773016e-06
room_borough_interaction_Other,1.957841291824725e-06
